Restaurant Name,Rating,Cuisine,Cost for One,Delivery Time,Offers,Link
Biryani By Kilo,4.2,"Biryani, Hyderabadi, Kebab, North Indian, Ice Cream, Desserts",₹250 for one,48 min,30% OFF,https://www.zomato.com/ncr/biryani-by-kilo-connaught-place-new-delhi/order
Saravana Bhavan,4.4,"South Indian, Desserts, Juices, Shake, Beverages",₹300 for one,34 min,No Offers,https://www.zomato.com/ncr/saravana-bhavan-janpath-new-delhi/order
Bheemeshwara - A South Indian Delicacy,4.4,"South Indian, Biryani, Andhra, Desserts, Beverages",₹500 for one,20 min,₹125 OFF,https://www.zomato.com/ncr/bheemeshwara-a-south-indian-delicacy-connaught-place-new-delhi/order
Bangla Foods,4.3,"North Indian, South Indian, Fast Food, Street Food, Chinese, Ice Cream",₹150 for one,25 min,50% OFF,https://www.zomato.com/ncr/bangla-foods-gole-market-new-delhi/order
Haldiram's,4.3,"South Indian, North Indian, Street Food, Chinese, Beverages, Desserts",₹200 for one,24 min,₹50 OFF,https://www.zomato.com/ncr/haldirams-janpath-new-delhi/order
Pizza Hut,4.1,"Pizza, Fast Food, Italian, Desserts, Beverages",₹250 for one,25 min,20% OFF,https://www.zomato.com/ncr/pizza-hut-2-connaught-place-new-delhi/order
Pind Balluchi,4.3,"North Indian, Mughlai, Kebab, Biryani",₹650 for one,25 min,60% OFF,https://www.zomato.com/ncr/pind-balluchi-connaught-place-new-delhi/order
Mashaallah Chicken Corner,4.1,"North Indian, Biryani",₹200 for one,26 min,No Offers,https://www.zomato.com/ncr/mashaallah-chicken-corner-1-paharganj-new-delhi/order
Cake & Cream,4.2,"Bakery, Desserts",₹250 for one,38 min,₹150 OFF,https://www.zomato.com/ncr/cake-cream-west-patel-nagar-new-delhi/order
Nazeer Foods,4.1,"North Indian, Mughlai, Biryani, Rolls, Burger, Fast Food, Beverages",₹400 for one,23 min,No Offers,https://www.zomato.com/ncr/nazeer-foods-connaught-place-new-delhi/order
Burger Singh - Big Punjabi Burgers,4.2,"Burger, Fast Food, Momos, Beverages, Desserts",₹150 for one,21 min,₹125 OFF,https://www.zomato.com/ncr/burger-singh-big-punjabi-burgers-connaught-place-new-delhi/order
Sagar Ratna,4.4,"South Indian, North Indian, Chinese",₹250 for one,29 min,No Offers,https://www.zomato.com/ncr/sagar-ratna-janpath-new-delhi/order
